"accepted_species","trait_ARD"
"t53","0"
"t87","0"
"t88","0"
"t24","0"
"t16","0"
"t82","0"
"t83","0"
"t65","0"
"t66","0"
"t21","0"
"t19","0"
"t17","1"
"t6","0"
"t49","0"
"t67","0"
"t68","0"
"t43","0"
"t99","0"
"t100","0"
"t39","0"
"t14",NA
"t23","0"
"t7","1"
"t27","1"
"t91",NA
"t92","1"
"t72","1"
"t73","1"
"t38","1"
"t74","1"
"t25","1"
"t2","1"
"t9","0"
"t15","0"
"t26",NA
"t37","0"
"t57","0"
"t58","0"
"t75","0"
"t76","0"
"t61","1"
"t62","1"
"t97","1"
"t98","1"
"t54","1"
"t69","1"
"t70","1"
"t36","1"
"t48","0"
"t55","0"
"t56","0"
"t41","0"
"t42","0"
"t52","0"
"t12","1"
"t13","0"
"t4","1"
"t5","1"
"t1",NA
"t30",NA
"t31","1"
"t29",NA
"t89","1"
"t90",NA
"t11","1"
"t93","1"
"t94","1"
"t32","1"
"t59","1"
"t84","1"
"t85","1"
"t79","1"
"t80","1"
"t33","1"
"t34","1"
"t86","1"
"t60","1"
"t71","0"
"t81",NA
"t44","1"
"t45","1"
"t35","1"
"t77",NA
"t78",NA
"t40","1"
"t50","1"
"t51","1"
"t20","1"
"t46","1"
"t47","1"
"t10","1"
"t28","1"
"t95","1"
"t96","1"
"t22","1"
"t18","1"
"t63","1"
"t64","1"
"t3","0"
"t8","1"
