accepted_species,Feature 1,trait_OU_scaled
t53,1,-1.69659487005337
t87,2,NA
t88,3,-1.59733412716154
t24,4,-1.47161995184915
t16,5,1.35322450269831
t82,6,0.243039655555021
t83,7,-1.18019250414967
t65,8,-0.752766992305202
t66,9,NA
t21,10,-2.16851290759863
t19,11,0.296561720908448
t17,12,0.20930889074572
t6,13,0.161811347992558
t49,14,-0.942623641154751
t67,15,0.017686893457718
t68,16,-0.022601451466711
t43,17,-0.381310748524923
t99,18,0.065898492640561
t100,19,0.04730294333728
t39,20,-0.777731745810782
t14,21,0.342134723788972
t23,22,-0.895574866981291
t7,23,-0.760255132564833
t27,24,-0.457273715135962
t91,25,-0.256151515095807
t92,26,-0.564659624400955
t72,27,1.28615898656299
t73,28,0.544268619007934
t38,29,1.56187196312646
t74,30,0.137467493468692
t25,31,-0.270264892089666
t2,32,0.185863515438817
t9,33,2.36359206635082
t15,34,-0.024265932610963
t26,35,0.113095106323378
t37,36,NA
t57,37,-1.06574597188093
t58,38,0.460955429753459
t75,39,1.1725353066524
t76,40,0.547026249493534
t61,41,-0.184722165607405
t62,42,1.09936668274705
t97,43,-0.355471164297081
t98,44,-0.351731429617857
t54,45,NA
t69,46,0.980464352308566
t70,47,0.573371812738033
t36,48,0.256734416907688
t48,49,-1.29412286132494
t55,50,-0.183574898153021
t56,51,-2.29365150609449
t41,52,1.25865922127412
t42,53,NA
t52,54,-1.18803981117031
t12,55,-0.79810014148554
t13,56,0.157850389378165
t4,57,NA
t5,58,-1.67585919374879
t1,59,NA
t30,60,0.865670997374364
t31,61,1.95951013022126
t29,62,1.10081377829609
t89,63,-1.51495053737214
t90,64,-1.09671426516461
t11,65,0.576906890893218
t93,66,-0.316029576077255
t94,67,0.05822870574358
t32,68,0.593417476986638
t59,69,NA
t84,70,-0.367832281705083
t85,71,-0.574132192771206
t79,72,-1.86791219946909
t80,73,-0.690140126140258
t33,74,1.39159195917492
t34,75,-0.072126199171873
t86,76,-0.949952582863447
t60,77,1.05047295525607
t71,78,1.67445609140367
t81,79,2.25780141249499
t44,80,0.026101711975473
t45,81,-0.433681000856539
t35,82,-0.174434684332217
t77,83,NA
t78,84,-1.39928707996079
t40,85,0.035246360435858
t50,86,0.700872294680282
t51,87,1.07722595795184
t20,88,2.39406765067866
t46,89,0.099819985158982
t47,90,-0.173015169338055
t10,91,1.27866579434491
t28,92,1.73508100408171
t95,93,-0.262140254647105
t96,94,-0.104820696379921
t22,95,0.699310297894728
t18,96,-0.015341688985976
t63,97,NA
t64,98,-0.3951451841243
t3,99,-0.529468657460895
t8,100,0.639159214287824
