accepted_species,Feature 1,Feature 2,trait_BM_trend_scaled
t53,1,1,1
t87,2,1,1
t88,3,1,1
t24,4,1,1
t16,5,1,1
t82,6,0,0
t83,7,0,0
t65,8,1,1
t66,9,0,0
t21,10,0,0
t19,11,0,0
t17,12,1,1
t6,13,0,0
t49,14,1,1
t67,15,1,1
t68,16,1,1
t43,17,1,1
t99,18,1,1
t100,19,1,1
t39,20,1,1
t14,21,1,1
t23,22,1,1
t7,23,1,1
t27,24,1,1
t91,25,1,1
t92,26,1,1
t72,27,1,1
t73,28,1,1
t38,29,1,1
t74,30,0,0
t25,31,0,0
t2,32,0,0
t9,33,0,0
t15,34,0,0
t26,35,0,0
t37,36,1,1
t57,37,1,1
t58,38,1,1
t75,39,1,1
t76,40,1,1
t61,41,1,1
t62,42,1,1
t97,43,1,1
t98,44,1,1
t54,45,1,1
t69,46,1,1
t70,47,0,0
t36,48,0,0
t48,49,0,0
t55,50,0,0
t56,51,0,0
t41,52,0,0
t42,53,0,0
t52,54,0,0
t12,55,0,0
t13,56,0,0
t4,57,0,0
t5,58,0,0
t1,59,0,0
t30,60,0,0
t31,61,0,0
t29,62,0,0
t89,63,0,0
t90,64,1,1
t11,65,0,0
t93,66,1,1
t94,67,1,1
t32,68,0,0
t59,69,0,0
t84,70,0,0
t85,71,0,0
t79,72,1,1
t80,73,1,1
t33,74,0,0
t34,75,0,0
t86,76,0,0
t60,77,0,0
t71,78,0,0
t81,79,0,0
t44,80,0,0
t45,81,0,0
t35,82,0,0
t77,83,0,0
t78,84,0,0
t40,85,0,0
t50,86,0,0
t51,87,0,0
t20,88,0,0
t46,89,0,0
t47,90,1,1
t10,91,0,0
t28,,1,1
t95,93,0,0
t96,94,,0
t22,,0,0
t18,96,0,0
t63,97,0,0
t64,,1,1
t3,99,1,1
t8,100,,0
